trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.995, 'e': 0.810157377815473}",30,0,-144.10020144942243,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
44,False,"{'a': 0.995, 'e': 0.8061065909263957}",20,0,-96.05358416085433,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.995, 'e': 0.8020760579717637}",30,0,-106.58085012936314,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.995, 'e': 0.7980656776819048}",20,11,-3.7598432785871694,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.995, 'e': 0.7940753492934953}",20,0,-161.9710913541686,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
48,False,"{'a': 0.995, 'e': 0.7901049725470278}",25,0,-78.2217111682472,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.995, 'e': 0.7861544476842928}",25,0,-45.401210807205445,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.995, 'e': 0.7822236754458712}",25,0,-202.40041487091534,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
51,False,"{'a': 0.995, 'e': 0.7783125570686419}",25,0,-156.46602887170968,"{0: 15, 1: 6, 2: 0, 3: 1, 4: 3}",0
52,False,"{'a': 0.995, 'e': 0.7744209942832987}",20,0,-52.221759264365765,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
53,False,"{'a': 0.995, 'e': 0.7705488893118821}",35,0,-169.7280466047383,"{0: 25, 1: 3, 2: 3, 3: 0, 4: 4}",0
54,False,"{'a': 0.995, 'e': 0.7666961448653228}",25,0,-157.74889753910742,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
55,False,"{'a': 0.995, 'e': 0.7628626641409961}",30,0,-90.38088522334533,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
56,False,"{'a': 0.995, 'e': 0.7590483508202912}",20,3,-135.74030717964322,"{0: 7, 1: 5, 2: 2, 3: 1, 4: 2}",1
57,False,"{'a': 0.995, 'e': 0.7552531090661897}",30,0,-198.0552931089087,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
58,False,"{'a': 0.995, 'e': 0.7514768435208588}",20,0,-91.66836691573958,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.995, 'e': 0.7477194593032545}",20,0,-123.82168724012023,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
60,False,"{'a': 0.995, 'e': 0.7439808620067382}",30,0,-109.27250184487403,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.995, 'e': 0.7402609576967045}",30,0,-142.76636889136938,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.995, 'e': 0.736559652908221}",30,0,-116.84585334254926,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
